Installation year,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Total
2014,8,208,3,129,34,5,137,169,693
2015,3,133,1,186,21,6,163,24,537
2016,105,668,6,331,130,18,240,70,"1,568"
2017,205,"1,942",18,856,479,93,845,212,"4,650"
2018,308,"1,876",8,"1,119",616,164,"1,362",236,"5,689"
2019,337,"1,503",22,"2,711","2,292",94,"1,288",316,"8,563"
2020,379,"1,852",148,957,"3,737",103,"1,531",782,"9,489"
2021,519,"2,755",390,"1,428","3,308",126,"3,018","1,624","13,168"
2022,"1,193","3,914",681,"2,844","4,746",249,"5,656","2,710","21,993"
2023,777,"6,037",570,"4,729","5,179",374,"6,332","2,957","26,955"
2024,679,"7,957",485,"4,987","6,166",351,"6,934","3,746","31,305"
2025,265,"4,782",208,"2,196","2,666",188,"2,726","1,152","14,183"
